ALT-KM,T-DEG-K,T-DEG-C
14.127000000000,625.700000000000,352.550000000000
13.899000000000,627.500000000000,354.350000000000
13.696000000000,629.200000000000,356.050000000000
13.511000000000,630.700000000000,357.550000000000
13.306000000000,632.200000000000,359.050000000000
13.122000000000,633.900000000000,360.750000000000
12.918000000000,635.500000000000,362.350000000000
12.801000000000,636.800000000000,363.650000000000
12.594000000000,638.600000000000,365.450000000000
12.406000000000,640.200000000000,367.050000000000
12.028000000000,643.200000000000,370.050000000000
11.667000000000,646.100000000000,372.950000000000
11.295000000000,649.200000000000,376.050000000000
10.975000000000,651.700000000000,378.550000000000
10.629000000000,654.500000000000,381.350000000000
10.291000000000,657.200000000000,384.050000000000
9.974000000000,659.700000000000,386.550000000000
9.633000000000,662.400000000000,389.250000000000
9.298000000000,665.100000000000,391.950000000000
8.970000000000,667.600000000000,394.450000000000
8.662000000000,670.100000000000,396.950000000000
8.359000000000,672.400000000000,399.250000000000
8.070000000000,674.700000000000,401.550000000000
7.769000000000,677.000000000000,403.850000000000
7.455000000000,679.500000000000,406.350000000000
7.146000000000,681.900000000000,408.750000000000
6.842000000000,684.200000000000,411.050000000000
6.544000000000,686.600000000000,413.450000000000
6.250000000000,688.800000000000,415.650000000000
5.961000000000,691.100000000000,417.950000000000
5.654000000000,693.500000000000,420.350000000000
5.362000000000,695.800000000000,422.650000000000
5.076000000000,698.000000000000,424.850000000000
4.782000000000,700.200000000000,427.050000000000
4.482000000000,702.600000000000,429.450000000000
4.219000000000,704.600000000000,431.450000000000
3.928000000000,706.800000000000,433.650000000000
3.631000000000,709.100000000000,435.950000000000
3.338000000000,711.300000000000,438.150000000000
3.050000000000,713.500000000000,440.350000000000
2.776000000000,715.600000000000,442.450000000000
2.477000000000,717.900000000000,444.750000000000
2.201000000000,719.900000000000,446.750000000000
1.910000000000,722.200000000000,449.050000000000
1.642000000000,724.200000000000,451.050000000000
1.360000000000,726.400000000000,453.250000000000
1.100000000000,728.400000000000,455.250000000000
0.980000000000,729.300000000000,456.150000000000
65.135000000000,238.300000000000,-34.850000000000
64.049000000000,241.000000000000,-32.150000000000
63.068000000000,245.700000000000,-27.450000000000
62.096000000000,250.100000000000,-23.050000000000
61.201000000000,257.200000000000,-15.950000000000
